iter	MultiClass
0	1.745559838
1	1.711377646
2	1.677348317
3	1.647234047
4	1.620770208
5	1.593786229
6	1.575167752
7	1.552951035
8	1.535677984
9	1.521223203
10	1.506060495
11	1.492550329
12	1.476917373
13	1.464633159
14	1.453239876
15	1.441523825
16	1.430627559
17	1.421064361
18	1.412177024
19	1.402991725
20	1.394436414
21	1.387230714
22	1.380986655
23	1.372381443
24	1.36540179
25	1.358426015
26	1.35331661
27	1.34774931
28	1.341393756
29	1.33655889
30	1.330593005
31	1.325652962
32	1.320762119
33	1.315454831
34	1.310041067
35	1.304245277
36	1.299757796
37	1.294974299
38	1.289399565
39	1.285957954
40	1.281458469
41	1.275925451
42	1.27063229
43	1.266411401
44	1.262817375
45	1.258381106
46	1.25417614
47	1.249810124
48	1.246585371
49	1.244035601
50	1.240469349
51	1.237406166
52	1.233529811
53	1.229402544
54	1.22601028
55	1.222468474
56	1.219249969
57	1.215323013
58	1.212060404
59	1.209786526
60	1.207132069
61	1.203743349
62	1.200196529
63	1.197586918
64	1.19495887
65	1.192021766
66	1.188474213
67	1.184763929
68	1.18105476
69	1.177963477
70	1.176016575
71	1.173170755
72	1.170700808
73	1.167969487
74	1.164781521
75	1.162869086
76	1.159744125
77	1.157782139
78	1.15496668
79	1.151870263
80	1.150421698
81	1.147719352
82	1.145035491
83	1.142513799
84	1.139818782
85	1.137101307
86	1.134698348
87	1.131651789
88	1.129017081
89	1.126322228
90	1.12446663
91	1.12191917
92	1.119914902
93	1.117346017
94	1.114664826
95	1.111988632
96	1.109431402
97	1.107676329
98	1.104983845
99	1.102365063
100	1.099272989
101	1.096704275
102	1.09507746
103	1.092685549
104	1.091126259
105	1.088244875
106	1.086788837
107	1.084416651
108	1.081751772
109	1.079566708
110	1.077348582
111	1.074835788
112	1.07194331
113	1.069981952
114	1.06685173
115	1.064700641
116	1.062516405
117	1.060012779
118	1.057630424
119	1.055305007
120	1.05247376
121	1.049887535
122	1.047518534
123	1.045422124
124	1.043558143
125	1.041946073
126	1.039538989
127	1.036936669
128	1.034801766
129	1.032322733
130	1.030551548
131	1.028544562
132	1.026772952
133	1.024386214
134	1.022194379
135	1.01975449
136	1.018636443
137	1.015801012
138	1.013807759
139	1.01180633
140	1.009727147
141	1.0078054
142	1.00595375
143	1.004423157
144	1.001855034
145	0.9996088093
146	0.997466546
147	0.9950506771
148	0.9933946938
149	0.9916100367
150	0.9900613341
151	0.9875962077
152	0.9851273763
153	0.9832447719
154	0.9814874757
155	0.9800337026
156	0.9774357602
157	0.9762024564
158	0.9745022205
159	0.9723176553
160	0.9705818228
161	0.9679996442
162	0.9652453903
163	0.9628972527
164	0.9614776617
165	0.9596889339
166	0.9575415969
167	0.9557013753
168	0.9536370558
169	0.9514811038
170	0.9496943513
171	0.9478440218
172	0.9467378882
173	0.9445991556
174	0.942099769
175	0.9404088435
176	0.9384602035
177	0.9371871377
178	0.9350484316
179	0.9326901225
180	0.9311516103
181	0.9293888817
182	0.9280682024
183	0.9267713668
184	0.9250859628
185	0.9235248157
186	0.9222888667
187	0.9213382577
188	0.9200525794
189	0.9181449597
190	0.9162795505
191	0.9138989255
192	0.9120619552
193	0.9109437539
194	0.9093784334
195	0.9079776213
196	0.9060193083
197	0.9039076946
198	0.9028559272
199	0.9002683697
200	0.8987410903
201	0.8972267166
202	0.8952792163
203	0.8937993919
204	0.8921770451
205	0.8910648782
206	0.8893161263
207	0.8882799236
208	0.8863630776
209	0.8842869188
210	0.8832874065
211	0.8820593938
212	0.8800526918
213	0.8785672964
214	0.8766453954
215	0.8750584396
216	0.8741055763
217	0.8725200776
218	0.8710871758
219	0.8693970216
220	0.8672619163
221	0.8659277191
222	0.864716768
223	0.8627190949
224	0.8612022569
225	0.8598327294
226	0.8583290562
227	0.8565666217
228	0.8552942701
229	0.8540911148
230	0.8523645109
231	0.8507062982
232	0.849420686
233	0.8482079441
234	0.8471147561
235	0.8457172729
236	0.8441635435
237	0.8422998329
238	0.8409563398
239	0.8393489827
240	0.8381071866
241	0.836847095
242	0.8356650044
243	0.8340104063
244	0.8326227654
245	0.8311715207
246	0.8294796379
247	0.828419265
248	0.8268052599
249	0.8252423487
250	0.8238057879
251	0.8220177556
252	0.8207450474
253	0.8192244272
254	0.8180567695
255	0.8163470076
256	0.8148633665
257	0.8132134945
258	0.8122601872
259	0.8109442283
260	0.8095874935
261	0.8082934889
262	0.8068287869
263	0.8052023352
264	0.8040761874
265	0.8031478362
266	0.8012587762
267	0.8003343275
268	0.7990854672
269	0.7980515922
270	0.7968048974
271	0.7951923078
272	0.7940151545
273	0.7925016713
274	0.7915961221
275	0.7907596521
276	0.7896067848
277	0.7886961555
278	0.7868317973
279	0.7852863754
280	0.7843198703
281	0.7831637507
282	0.7814972164
283	0.7801014875
284	0.7787760235
285	0.777446501
286	0.7764785247
287	0.7753985297
288	0.7742324614
289	0.7730395941
290	0.771885071
291	0.7705530327
292	0.7692443336
293	0.7682011034
294	0.7666430832
295	0.7650204449
296	0.7639325605
297	0.762216149
298	0.7609166592
299	0.7596671788
300	0.7585847632
301	0.7570378059
302	0.7560535065
303	0.754786181
304	0.7538480149
305	0.7527971354
306	0.7516880237
307	0.7506462952
308	0.7495148628
309	0.7484070436
310	0.7471883858
311	0.7460692469
312	0.7451016908
313	0.7437765397
314	0.7425066441
315	0.7414038932
316	0.7403883664
317	0.7394145585
318	0.738241957
319	0.7368079894
320	0.7352871007
321	0.7338915559
322	0.7328444439
323	0.7314469008
324	0.7299380896
325	0.7287270102
326	0.7276248132
327	0.7258925885
328	0.7247588468
329	0.723458216
330	0.7220465683
331	0.7209428444
332	0.7194673908
333	0.7182603113
334	0.717418849
335	0.7163721257
336	0.715365635
337	0.7141542909
338	0.7131395233
339	0.7119034303
340	0.7107739092
341	0.7097178121
342	0.7091049674
343	0.708161758
344	0.7070719926
345	0.7060114782
346	0.7050454332
347	0.7040237319
348	0.7033533404
349	0.7026198524
350	0.70154384
351	0.7006698155
352	0.6998095749
353	0.698817178
354	0.6979381483
355	0.6964441426
356	0.6952786753
357	0.6942664551
358	0.6935709551
359	0.6924840099
360	0.6913379968
361	0.69008988
362	0.6888633651
363	0.6877152969
364	0.6864886006
365	0.6851803792
366	0.6842924005
367	0.6832121977
368	0.6822564645
369	0.6813296369
370	0.6805241778
371	0.6798264442
372	0.6783753038
373	0.6769591502
374	0.6765730013
375	0.6757679084
376	0.6749137958
377	0.6740721174
378	0.6732295046
379	0.6721916812
380	0.6710208175
381	0.670258127
382	0.6692097426
383	0.668163312
384	0.6668823846
385	0.6655789003
386	0.6640972725
387	0.6631225223
388	0.6618268508
389	0.6608095239
390	0.6595990503
391	0.658970416
392	0.6580361804
393	0.6571844821
394	0.6560036691
395	0.6551187115
396	0.6537911478
397	0.6529270265
398	0.6520014551
399	0.6511844377
400	0.6499692071
401	0.6489908646
402	0.6481073901
403	0.6473212965
404	0.6466812609
405	0.6456827453
406	0.6448158931
407	0.6439106446
408	0.6428784232
409	0.6416930795
410	0.640960055
411	0.6398875361
412	0.6389747276
413	0.6383884014
414	0.6376183101
415	0.6367204719
416	0.6355837433
417	0.6344685077
418	0.6335279933
419	0.632843994
420	0.631791843
421	0.6307552037
422	0.6302342863
423	0.6292919485
424	0.6285764168
425	0.6275586712
426	0.6264694178
427	0.6253380466
428	0.6245649523
429	0.6239706483
430	0.6234892808
431	0.6227946725
432	0.6219487635
433	0.6210541135
434	0.6203160033
435	0.6194456238
436	0.6182738888
437	0.6177231258
438	0.6168228562
439	0.6156572627
440	0.6146340829
441	0.6140976604
442	0.6129963511
443	0.6120147152
444	0.611133253
445	0.6101065326
446	0.6095432367
447	0.6083123065
448	0.6076325002
449	0.606452998
450	0.6054581257
451	0.6044878736
452	0.6034351781
453	0.6030835985
454	0.6016582721
455	0.6007034642
456	0.5998916247
457	0.5991616003
458	0.5983336097
459	0.5972847467
460	0.59626555
461	0.5954687515
462	0.5948517054
463	0.5941773097
464	0.5932266833
465	0.5924903083
466	0.5915776389
467	0.5906071331
468	0.5896182639
469	0.5886478185
470	0.5872440897
471	0.586007985
472	0.5852875551
473	0.5844955234
474	0.5835908857
475	0.5822289989
476	0.5813070304
477	0.5805798127
478	0.5798689897
479	0.5791114878
480	0.5781507665
481	0.5774302439
482	0.5768314938
483	0.5760557514
484	0.575632127
485	0.5748744728
486	0.5742746659
487	0.5736417913
488	0.572767721
489	0.5718714962
490	0.5711801007
491	0.5701787106
492	0.5692519997
493	0.5684043405
494	0.5677054727
495	0.5668991622
496	0.5660844026
497	0.5653055213
498	0.5643398833
499	0.5636638106
500	0.5623355171
501	0.5617235935
502	0.5608325587
503	0.5599223048
504	0.5592837365
505	0.5583081756
506	0.557739445
507	0.5567270108
508	0.556233499
509	0.5556604386
510	0.5549430511
511	0.5541822282
512	0.5538822172
513	0.5531520962
514	0.5523544814
515	0.5516352607
516	0.5507657016
517	0.5502786854
518	0.5495798797
519	0.549184753
520	0.5484933473
521	0.5475305581
522	0.5466547075
523	0.546097052
524	0.5455308563
525	0.5449615939
526	0.5442675094
527	0.5429907546
528	0.5424323885
529	0.5417750515
530	0.5410291179
531	0.5402043364
532	0.5396684116
533	0.5385292287
534	0.5378656347
535	0.5370219359
536	0.5363623581
537	0.5358137357
538	0.5351910826
539	0.5343119631
540	0.5338300742
541	0.5328872597
542	0.5323656811
543	0.5318200128
544	0.53114689
545	0.5303689522
546	0.5296900588
547	0.5290723326
548	0.528418871
549	0.5276187086
550	0.5268604965
551	0.5259662895
552	0.5253426962
553	0.5248420485
554	0.5241532164
555	0.5235307568
556	0.5227647935
557	0.5220662588
558	0.5215099977
559	0.5207452503
560	0.5199246051
561	0.5191422335
562	0.5184388301
563	0.5176901873
564	0.5170313566
565	0.5165025295
566	0.5158770712
567	0.5154549731
568	0.5148175715
569	0.5140953298
570	0.5135189987
571	0.5128802598
572	0.5122743635
573	0.5116841453
574	0.5107074928
575	0.5102039926
576	0.5092961803
577	0.5088496248
578	0.5078386664
579	0.5072557324
580	0.5066896303
581	0.5060115951
582	0.5050638083
583	0.5042908388
584	0.503512323
585	0.5028837314
586	0.5020967216
587	0.5013534382
588	0.500706397
589	0.5001382474
590	0.499633208
591	0.4991159869
592	0.4985950698
593	0.4980634562
594	0.4975440501
595	0.4969622127
596	0.4963215368
597	0.4957421951
598	0.4949620742
599	0.4943222834
600	0.4938559591
601	0.4931796406
602	0.4927952388
603	0.4923210759
604	0.4917562024
605	0.4909216452
606	0.4904564301
607	0.48994052
608	0.4894267314
609	0.4885711532
610	0.4881034187
611	0.4877394857
612	0.4873463708
613	0.4865865343
614	0.4859986514
615	0.4854896025
616	0.4844403475
617	0.4836320698
618	0.4829381802
619	0.4823720134
620	0.4817033461
621	0.4811580041
622	0.480712491
623	0.4800964735
624	0.479657433
625	0.4789553301
626	0.4780991261
627	0.4776868819
628	0.476996609
629	0.4763290368
630	0.4756328729
631	0.4752909529
632	0.4744362252
633	0.4738856661
634	0.4734547298
635	0.4730717367
636	0.4724332082
637	0.4716556048
638	0.4710843418
639	0.4708755611
640	0.4703489613
641	0.4694854679
642	0.468947997
643	0.4685541498
644	0.4683256936
645	0.4677663236
646	0.4672742496
647	0.4668502418
648	0.4662754439
649	0.4658419926
650	0.4652926349
651	0.4646572872
652	0.4639566042
653	0.463213486
654	0.4623230126
655	0.4615351602
656	0.4609301056
657	0.4602994953
658	0.4597773849
659	0.4587161131
660	0.457890439
661	0.4573274248
662	0.4569313329
663	0.4563866694
664	0.4557964704
665	0.4554822203
666	0.4549410817
667	0.454351099
668	0.4538747613
669	0.4533002801
670	0.4526224889
671	0.4522450384
672	0.4517421119
673	0.4510568443
674	0.4505212842
675	0.4501123154
676	0.4496372094
677	0.4488210432
678	0.4481092577
679	0.4476601373
680	0.4473221637
681	0.4467265221
682	0.4461063874
683	0.445676754
684	0.445120255
685	0.4446859045
686	0.4441363204
687	0.4436611424
688	0.4430034466
689	0.4425912003
690	0.4418831513
691	0.4416108493
692	0.4407884796
693	0.4400034619
694	0.4396409608
695	0.4388986772
696	0.4386433198
697	0.4382149363
698	0.4379326574
699	0.4372318782
700	0.436802053
701	0.4361923728
702	0.4355029968
703	0.4349721805
704	0.4344283797
705	0.4338451483
706	0.4335468949
707	0.4326968632
708	0.4323755031
709	0.4320600602
710	0.4316178721
711	0.4314162285
712	0.4310689188
713	0.4306620014
714	0.4301233911
715	0.429595252
716	0.42907145
717	0.4285410039
718	0.4280088863
719	0.4272317149
720	0.4265138577
721	0.425773403
722	0.4253486734
723	0.4248148864
724	0.4243004894
725	0.4236575716
726	0.4230674409
727	0.4227334958
728	0.4222201952
729	0.4216662701
